Relative_Compactness,Wall_Area,Roof_Area,Heating_Load,Cooling_Load,Ori_3,Ori_4,Ori_5,GA_0.1,GA_0.25,GA_0.4,GD_1,GD_2,GD_3,GD_4,GD_5
0.74,245.0,220.5,6.07,10.9,False,False,False,False,False,False,False,False,False,False,False
0.74,245.0,220.5,6.05,11.19,True,False,False,False,False,False,False,False,False,False,False
0.74,245.0,220.5,6.01,10.94,False,True,False,False,False,False,False,False,False,False,False
0.74,245.0,220.5,6.04,11.17,False,False,True,False,False,False,False,False,False,False,False
0.71,269.5,220.5,6.37,11.27,False,False,False,False,False,False,False,False,False,False,False
0.71,269.5,220.5,6.4,11.72,True,False,False,False,False,False,False,False,False,False,False
0.71,269.5,220.5,6.366,11.29,False,True,False,False,False,False,False,False,False,False,False
0.71,269.5,220.5,6.4,11.67,False,False,True,False,False,False,False,False,False,False,False
0.69,294.0,220.5,6.85,11.74,False,False,False,False,False,False,False,False,False,False,False
0.69,294.0,220.5,6.79,12.05,True,False,False,False,False,False,False,False,False,False,False
0.69,294.0,220.5,6.77,11.73,False,True,False,False,False,False,False,False,False,False,False
0.69,294.0,220.5,6.81,11.93,False,False,True,False,False,False,False,False,False,False,False
0.66,318.5,220.5,7.18,12.4,False,False,False,False,False,False,False,False,False,False,False
0.66,318.5,220.5,7.1,12.23,True,False,False,False,False,False,False,False,False,False,False
0.66,318.5,220.5,7.1,12.4,False,True,False,False,False,False,False,False,False,False,False
0.66,318.5,220.5,7.1,12.14,False,False,True,False,False,False,False,False,False,False,False
0.64,343.0,220.5,10.85,16.78,False,False,False,False,False,False,False,False,False,False,False
0.64,343.0,220.5,10.54,16.8,True,False,False,False,False,False,False,False,False,False,False
0.64,343.0,220.5,10.77,16.75,False,True,False,False,False,False,False,False,False,False,False
0.64,343.0,220.5,10.56,16.67,False,False,True,False,False,False,False,False,False,False,False
0.62,367.5,220.5,8.6,12.07,False,False,False,False,False,False,False,False,False,False,False
0.62,367.5,220.5,8.49,12.22,True,False,False,False,False,False,False,False,False,False,False
0.62,367.5,220.5,8.45,12.08,False,True,False,False,False,False,False,False,False,False,False
0.62,367.5,220.5,8.5,12.04,False,False,True,False,False,False,False,False,False,False,False
0.74,245.0,220.5,10.36,13.43,False,False,False,True,False,False,True,False,False,False,False
0.74,245.0,220.5,10.43,13.71,True,False,False,True,False,False,True,False,False,False,False
0.74,245.0,220.5,10.36,13.48,False,True,False,True,False,False,True,False,False,False,False
0.74,245.0,220.5,10.39,13.7,False,False,True,True,False,False,True,False,False,False,False
0.71,269.5,220.5,10.71,13.8,False,False,False,True,False,False,True,False,False,False,False
0.71,269.5,220.5,10.8,14.28,True,False,False,True,False,False,True,False,False,False,False
0.71,269.5,220.5,10.7,13.87,False,True,False,True,False,False,True,False,False,False,False
0.71,269.5,220.5,10.75,14.27,False,False,True,True,False,False,True,False,False,False,False
0.69,294.0,220.5,11.11,14.28,False,False,False,True,False,False,True,False,False,False,False
0.69,294.0,220.5,11.13,14.61,True,False,False,True,False,False,True,False,False,False,False
0.69,294.0,220.5,11.09,14.3,False,True,False,True,False,False,True,False,False,False,False
0.69,294.0,220.5,11.16,14.45,False,False,True,True,False,False,True,False,False,False,False
0.66,318.5,220.5,11.68,13.9,False,False,False,True,False,False,True,False,False,False,False
0.66,318.5,220.5,11.69,13.72,True,False,False,True,False,False,True,False,False,False,False
0.66,318.5,220.5,11.7,13.88,False,True,False,True,False,False,True,False,False,False,False
0.66,318.5,220.5,11.69,13.65,False,False,True,True,False,False,True,False,False,False,False
0.64,343.0,220.5,15.41,19.37,False,False,False,True,False,False,True,False,False,False,False
0.64,343.0,220.5,15.2,19.43,True,False,False,True,False,False,True,False,False,False,False
0.64,343.0,220.5,15.42,19.34,False,True,False,True,False,False,True,False,False,False,False
0.64,343.0,220.5,15.21,19.32,False,False,True,True,False,False,True,False,False,False,False
0.62,367.5,220.5,12.96,14.34,False,False,False,True,False,False,True,False,False,False,False
0.62,367.5,220.5,12.97,14.5,True,False,False,True,False,False,True,False,False,False,False
0.62,367.5,220.5,12.93,14.33,False,True,False,True,False,False,True,False,False,False,False
0.62,367.5,220.5,13.02,14.27,False,False,True,True,False,False,True,False,False,False,False
0.74,245.0,220.5,10.42,13.39,False,False,False,True,False,False,False,True,False,False,False
0.74,245.0,220.5,10.46,13.72,True,False,False,True,False,False,False,True,False,False,False
0.74,245.0,220.5,10.32,13.57,False,True,False,True,False,False,False,True,False,False,False
0.74,245.0,220.5,10.45,13.79,False,False,True,True,False,False,False,True,False,False,False
0.71,269.5,220.5,10.64,13.67,False,False,False,True,False,False,False,True,False,False,False
0.71,269.5,220.5,10.72,14.11,True,False,False,True,False,False,False,True,False,False,False
0.71,269.5,220.5,10.55,13.8,False,True,False,True,False,False,False,True,False,False,False
0.71,269.5,220.5,10.68,14.21,False,False,True,True,False,False,False,True,False,False,False
